food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason,NOVA_step2,TFIDF_score,TFIDF_match_name,Match_source,SBERT_score,SBERT_match_name,NOVA_step4,NOVA_final
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
melon watermelon,"Melon, watermelon",Fresh fruit,,,,0.6527277379003109,,SBERT,0.8227087,watermelon juice,1,1
pork fillet tenderloin,Pork fillet (tenderloin),Pork and pork dishes,,,,0.7678392005065684,,SBERT,0.77881867,pork tenderloin baked,1,1
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,,1,0.8735618583644809,cheddar cheese soup,TF-IDF,,,,1
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,SBERT,0.85781527,milk semi skimmed uht,3,3
tea,Tea,Tea (excluding added sugar),,,,0.6205366703843419,,SBERT,0.76169395,tea russian,1,1
beef lasagne,Beef lasagne,Meat based pasta dishes,,,,0.7723710676968908,,SBERT,0.86984706,lasagne beef ready meal,4,4
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,SBERT,0.85781527,milk semi skimmed uht,3,3
mineral water still or carbonated flavoured with artificial sweetener eg perfectly clear zero sugar,"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",Diet carbonated drinks (includes low calorie drinks),4.0,instant/flavoured,,,,Keyword,,,,4.0
milk chocolate raisins,Milk chocolate raisins,"Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits",,,4,1.0,milk chocolate raisins,TF-IDF,,,,4
mashed potato with vegetable/sunflower oil spread,"Mashed potato, with vegetable/sunflower oil spread",Other potatoes,3.0,boiled or mashed,,,,Keyword,,,,3.0
peas cooked from frozen,"Peas, cooked from frozen","Peas: frozen, fresh, canned, dried & split",,,,0.8022830293305168,,SBERT,0.90830344,peas frozen boiled,3,3
diet cocacola eg coke zero pepsi max,"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",Diet carbonated drinks (includes low calorie drinks),,,,0.5138252745134343,,SBERT,0.6786065,diet coke plus vitamins,4,4
tomato ketchup,Tomato ketchup,Ketchup,4.0,processed ketchup,,,,Keyword,,,,4.0
fish fingers grilled or oven baked,"Fish fingers, grilled or oven baked","Fish in crumbs: fishcakes, fishfingers",,,,0.7610153571875476,,SBERT,0.82895595,fish fingers grilled,4,4
oreos including supermarket brands,"Oreos, including supermarket brands",Sweet biscuits: excludes full coated biscuits,,,,0.43655607626088677,,SBERT,0.73339635,oreo and supermarket versions only all flavours,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
cornflakes supermarket brand,"Cornflakes, supermarket brand","Other breakfast cereals: muesli, bran flakes",,,,0.5248254780228433,,SBERT,0.8426795,cornflakes own brand not kellogg s,4,4
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,SBERT,0.85781527,milk semi skimmed uht,3,3
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,,1,0.9052316041909536,tangerines mandarins clementines flesh only,TF-IDF,,,,1
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,,1,0.9052316041909536,tangerines mandarins clementines flesh only,TF-IDF,,,,1
baked beans reduced sugar,"Baked beans, reduced sugar",Baked beans,,,,0.6567428053833912,,SBERT,0.8378304,beans baked canned low sugar no added sugar,4,4
sugar sweetener mix eg silver spoon half spoon sugar,Sugar sweetener mix (e.g. Silver Spoon Half Spoon Sugar),"Table sugar: demerara, white",,,,0.45040810729613157,,SBERT,0.78702587,sugar sweetener mixes,4,4
pasta in tomato sauce canned eg heinz spaghetti hoops,"Pasta in tomato sauce, canned (e.g. Heinz Spaghetti Hoops)",Tinned cereals: spaghetti in tomato sauce,,,,0.688364603397312,,SBERT,0.8713842,pasta spaghetti canned in tomato sauce,4,4
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,,3,1.0,butter salted,TF-IDF,,,,3
cheese and tomato pizza eg margherita,Cheese and tomato pizza (e.g. Margherita),Pizza,,,,0.5127958927311378,,SBERT,0.6921035,pizza with cheese and extra vegetables regular crust,1,1
ham sandwich with white/malted bread,Ham sandwich with white/malted bread,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,,,0.5117128464904502,,SBERT,0.709568,ham sandwich with spread,4,4
chocolate coated biscuit eg rocky bar club breakaway,"Chocolate coated biscuit (e.g. Rocky bar, Club, Breakaway)","Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits",4.0,snack item,,,,Keyword,,,,4.0
weetabix / wheat biscuits,Weetabix / Wheat biscuits,"Other breakfast cereals: muesli, bran flakes",4.0,snack item,,,,Keyword,,,,4.0
peas cooked from frozen,"Peas, cooked from frozen","Peas: frozen, fresh, canned, dried & split",,,,0.8022830293305168,,SBERT,0.90830344,peas frozen boiled,3,3
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,,,0.6483064959342473,,SBERT,0.72680753,mineral water still or carbonated not flavoured,1,1
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
fruit squash / juice with added sugar diluted,"Fruit squash / juice, with ADDED SUGAR, diluted",Other cordials and squashes: excluding low calorie & reduced sugar,4.0,sweetened drink,,,,Keyword,,,,4.0
corn on the cob sweetcorn,Corn on the cob (sweetcorn),"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7666864682692057,,SBERT,0.68754506,sweetcorn immature cob canned drained,3,3
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
orange squash no added sugar diluted,"Orange squash, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
sauce for bolognese no meat eg ragu,"Sauce for bolognese, no meat (e.g. Ragu)","Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce",,,,0.6500801740246253,,SBERT,0.80634785,bolognese sauce,3,3
pasta shapes white/tricolore,"Pasta shapes, white/tricolore",Pasta,,,,0.5166061365830266,,SBERT,0.71426785,pasta spaghetti dried white,1,1
red berry fruit smoothie,Red berry fruit smoothie,Fruit juices e.g. fresh orange juice,,,,0.5462489920232821,,SBERT,0.79310435,smoothies red bottled purchased fruit and juice blends,4,4
orange squash no added sugar diluted,"Orange squash, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
orange squash no added sugar diluted,"Orange squash, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
toast white bread,"Toast, white bread",White bread/rolls,,,,0.6543627705315798,,SBERT,0.9340069,bread white toasted,4,4
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread,,,,Keyword,,,,4.0
chicken goujon/nugget/dipper in breadcrumb or batter,"Chicken goujon/nugget/dipper, in breadcrumb or batter",Chicken/Turkey in breadcrumbs,,,,0.6773678732045874,,SBERT,0.6078827,quorn in breadcrumbs inc nuggets dippers goujons burgers,4,4
chocolate digestive biscuit,"Chocolate digestive, biscuit",Sweet biscuits: excludes full coated biscuits,4.0,snack item,,,,Keyword,,,,4.0
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,,1,0.9052316041909536,tangerines mandarins clementines flesh only,TF-IDF,,,,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
i can't believe it's not butter,I can't believe it's not butter,Monounsaturated,,,4,0.9685092194013614,i can t believe it s not butter only,TF-IDF,,,,4
garlic bread,Garlic bread,"Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,,4,1.0,bread garlic,TF-IDF,,,,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
honey hoops cereal cheerios supermarket brands,"Honey hoops cereal (cheerios), supermarket brands","Sugar coated breakfast cereals: sugar puffs, frosties",,,,0.5520267291865895,,SBERT,0.73228246,honey nut cheerios,4,4
chicken/turkey roast dinner ready meal,"Chicken/turkey roast dinner, ready meal",Chicken/Turkey dishes,,,,0.7732659584084197,,SBERT,0.7132518,roast turkey platter ready meal with potatoes veg stuffing,4,4
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,,,0.6483064959342473,,SBERT,0.72680753,mineral water still or carbonated not flavoured,1,1
spaghetti bolognese home made pasta and sauce,"Spaghetti bolognese, home made (pasta and sauce)",Meat based pasta dishes,3.0,homemade item,,,,Keyword,,,,3.0
orange squash no added sugar diluted,"Orange squash, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
crumpet / pikelet,Crumpet / pikelet,"Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,1,1.0,crumpet,TF-IDF,,,,1
toast white bread,"Toast, white bread",White bread/rolls,,,,0.6543627705315798,,SBERT,0.9340069,bread white toasted,4,4
milk chocolate bar eg dairy milk,Milk chocolate bar (e.g. Dairy Milk),"Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits",,,,0.7379986769343629,,SBERT,0.90135294,milk chocolate bar,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
chicken breast fried,"Chicken breast, fried",Chicken/Turkey dishes,,,,0.719906199107951,,SBERT,0.7649862,chicken liver fried,1,1
wrap/tortilla white,"Wrap/tortilla, white","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.6206111549079604,,SBERT,0.6851053,wholemeal wheat tortilla wraps,4,4
instant mousse dessert made with milk eg angel delight,Instant mousse dessert (made with milk) (e.g. Angel Delight),"Milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. rice pudding, semolina, blancmange, custard, trifles",4.0,instant/flavoured,,,,Keyword,,,,4.0
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,,3,1.0,butter salted,TF-IDF,,,,3
fruit squash / juice with added sugar diluted,"Fruit squash / juice, with ADDED SUGAR, diluted",Other cordials and squashes: excluding low calorie & reduced sugar,4.0,sweetened drink,,,,Keyword,,,,4.0
corn on the cob sweetcorn,Corn on the cob (sweetcorn),"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7666864682692057,,SBERT,0.68754506,sweetcorn immature cob canned drained,3,3
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
vegetarian chickenstyle pieces/strips eg quorn,Vegetarian chicken-style pieces/strips (e.g. Quorn),Quorn/TVP and dishes,,,,0.5775471103628255,,SBERT,0.6619338,quorn bacon style strips,4,4
savoury rice made up from a packet,"Savoury rice, made up from a packet",Rice,,,,0.6310162872113234,,SBERT,0.7680259,rice savoury reconstituted,4,4
tea,Tea,Tea (excluding added sugar),,,,0.6205366703843419,,SBERT,0.76169395,tea russian,1,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
cheese sandwich with wholemeal/oatmeal bread,Cheese sandwich with wholemeal/oatmeal bread,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,,,0.6434690792717377,,SBERT,0.71818215,oatmeal bread,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
salted popcorn,Salted popcorn,"Non-potato snacks e.g. pretzels, tortilla crisps",,,,0.667338868872434,,SBERT,0.8175787,popcorn salted e g microwave or purchased,4,4
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
sweet or savoury pancake,Sweet or savoury pancake,"Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.5228923508621676,,SBERT,0.6280725,potato pancake,1,1
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
chicken and bacon wrap,Chicken and bacon wrap,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,,,0.505338988688843,,SBERT,0.6974999,bacon and tomato dressing,4,4
apple juice,Apple juice,Fruit juices e.g. fresh orange juice,,,1,1.0000000000000002,apple juice,TF-IDF,,,,1
herbal/ fruit tea,Herbal/ Fruit tea,Tea (excluding added sugar),,,1,0.931049992423403,tea herbal,TF-IDF,,,,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
sandwich thins wholemeal brown,"Sandwich thins, wholemeal (brown)",Brown and wholemeal bread/rolls,,,,0.6699768467310421,,SBERT,0.622764,bread wholemeal slimmers eg nimble weight watchers danish brown,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
fruit and yoghurt smoothie,Fruit and yoghurt smoothie,Fruit juices e.g. fresh orange juice,,,,0.5325754830575573,,SBERT,0.7820755,fruit smoothie drink made with fruit or fruit juice and dairy products,4,4
herbal/ fruit tea,Herbal/ Fruit tea,Tea (excluding added sugar),,,1,0.931049992423403,tea herbal,TF-IDF,,,,1
bacon streaky smoked grilled,"Bacon, streaky, smoked, grilled",Bacon and ham,,,,0.7001386936627816,,SBERT,0.79676574,bacon steaks chops loin not smoked grilled,4,4
bbq sauce,BBQ sauce,"Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce",,,,0.48302852585520173,,SBERT,0.93261087,barbecue sauce,4,4
bbq sauce,BBQ sauce,"Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce",,,,0.48302852585520173,,SBERT,0.93261087,barbecue sauce,4,4
kiwi fruit,Kiwi fruit,Fresh fruit,,,1,0.8973355880991024,kiwi fruit raw,TF-IDF,,,,1
coco shreddies eg nestle,Coco Shreddies (e.g. Nestle),"Sugar coated breakfast cereals: sugar puffs, frosties",,,4,0.9276278080238876,nestle coco shreddies,TF-IDF,,,,4
apple slices canned,"Apple slices, canned",Canned/stewed fruit,,,4,0.8604750741682372,apple slices canned fruit only,TF-IDF,,,,4
mixed leaf salad no dressing,"Mixed leaf salad, no dressing","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,1,0.8542476461082669,mixed leaf salad,TF-IDF,,,,1
cherry juice drink,Cherry juice drink,Fruit juices e.g. fresh orange juice,,,,0.60397868227879,,SBERT,0.77461433,fruit juice drink,4,4
herbal/ fruit tea,Herbal/ Fruit tea,Tea (excluding added sugar),,,1,0.931049992423403,tea herbal,TF-IDF,,,,1
bacon sandwich with wholemeal/oatmeal bread,Bacon sandwich with wholemeal/oatmeal bread,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,,,0.6083674887705373,,SBERT,0.69159913,bacon and egg sandwich,3,3
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.6080627731313163,,SBERT,0.85128963,yogurts yoghurts fruit with added cream,4,4
oat milk,Oat milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.6232898236277387,,SBERT,0.83325535,oat based milk alternative unfortified,4,4
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
chicken and vegetable soup homemade,"Chicken and vegetable soup, homemade",Soups,3.0,homemade item,,,,Keyword,,,,3.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
50/50 bread eg kingsmill warburtons,"50/50 bread (e.g. Kingsmill, Warburtons)",Brown and wholemeal bread/rolls,,,,0.5553309909098728,,SBERT,0.6367228,bread sandwich wholemeal thins kingsmill,4,4
bacon streaky smoked grilled,"Bacon, streaky, smoked, grilled",Bacon and ham,,,,0.7001386936627816,,SBERT,0.79676574,bacon steaks chops loin not smoked grilled,4,4
chocolate fudge cake,Chocolate fudge cake,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,4,0.8522184379457101,fudge chocolate,TF-IDF,,,,4
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,,3,1.0,butter salted,TF-IDF,,,,3
salad dressing,Salad dressing,"Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce",,,,0.7654639808304015,,SBERT,0.8412231,caesar salad dressing,4,4
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
orange juice 100% fruit eg tropicana,"Orange juice, 100% fruit (e.g. Tropicana)",Fruit juices e.g. fresh orange juice,,,,0.5742520385666388,,SBERT,0.6937287,baby pure fruit juice rtd,4,4
bbq sauce,BBQ sauce,"Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce",,,,0.48302852585520173,,SBERT,0.93261087,barbecue sauce,4,4
bacon sandwich with wholemeal/oatmeal bread,Bacon sandwich with wholemeal/oatmeal bread,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,,,0.6083674887705373,,SBERT,0.69159925,bacon and egg sandwich,3,3
toast white bread,"Toast, white bread",White bread/rolls,,,,0.6543627705315798,,SBERT,0.9340069,bread white toasted,4,4
herbal/ fruit tea,Herbal/ Fruit tea,Tea (excluding added sugar),,,1,0.931049992423403,tea herbal,TF-IDF,,,,1
custard made with sugar homemade,"Custard, made with sugar (homemade)","Milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. rice pudding, semolina, blancmange, custard, trifles",3.0,homemade item,,,,Keyword,,,,3.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
herbal/ fruit tea,Herbal/ Fruit tea,Tea (excluding added sugar),,,1,0.931049992423403,tea herbal,TF-IDF,,,,1
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.6080627731313163,,SBERT,0.85128963,yogurts yoghurts fruit with added cream,4,4
hot chocolate made with milk topped with cream,"Hot chocolate, made with milk, topped with cream","Other hot drinks water and milk based e.g. hot chocolate, ovaltine",,,,0.5207861990535214,,SBERT,0.9001461,hot chocolate made with semi skimmed milk and extra cream,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
potato wedges,Potato wedges,"Potato products e.g. wedges, waffles, croquettes",,,4,0.9070965487896376,potato wedges baked,TF-IDF,,,,4
herbal/ fruit tea,Herbal/ Fruit tea,Tea (excluding added sugar),,,1,0.931049992423403,tea herbal,TF-IDF,,,,1
chicken sandwich with white/malted bread,Chicken sandwich with white/malted bread,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,,,0.5357927892745535,,SBERT,0.71821076,chicken fillet breaded fried sandwich,4,4
mango juice 100% juice,"Mango juice, 100% juice",Fruit juices e.g. fresh orange juice,,,,0.7543646924091301,,SBERT,0.7697642,mango juice fresh,1,1
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.6080627731313163,,SBERT,0.85128963,yogurts yoghurts fruit with added cream,4,4
herbal/ fruit tea,Herbal/ Fruit tea,Tea (excluding added sugar),,,1,0.931049992423403,tea herbal,TF-IDF,,,,1
fruit squash / juice with added sugar diluted,"Fruit squash / juice, with ADDED SUGAR, diluted",Other cordials and squashes: excluding low calorie & reduced sugar,4.0,sweetened drink,,,,Keyword,,,,4.0
flora light spread/margarine,Flora Light spread/margarine,Low fat spreads: includes very low fat spreads,4.0,processed fat,,,,Keyword,,,,4.0
sweet waffle grilled,"Sweet waffle, grilled","Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,,,0.6107305767984768,,SBERT,0.98303413,sweet waffles grilled,3,3
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw,,,,Keyword,,,,1.0
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
chicken breast marinated homemade,"Chicken breast, marinated, homemade",Chicken/Turkey dishes,3.0,homemade item,,,,Keyword,,,,3.0
raspberries,Raspberries,Fresh fruit,,,,0.8474947318762439,,SBERT,0.81220496,dried raspberries,4,4
baby spinach raw eg in salad,"Baby spinach, raw (e.g. in salad)","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw,,,,Keyword,,,,1.0
broccoli boiled,"Broccoli, boiled","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",3.0,boiled or mashed,,,,Keyword,,,,3.0
raspberries,Raspberries,Fresh fruit,,,,0.8474947318762439,,SBERT,0.81220496,dried raspberries,4,4
blueberries / bilberries,Blueberries / bilberries,Fresh fruit,,,1,0.9187297119045621,dried blueberries bilberries,TF-IDF,,,,1
orange,Orange,Fresh fruit,,,,0.8068019338671553,,SBERT,0.7427379,orange raw,1,1
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,SBERT,0.8401057,cucumber raw,1,1
potato shapes eg alphabites smilies grilled/baked,"Potato shapes (e.g. Alphabites, Smilies), grilled/baked","Potato products e.g. wedges, waffles, croquettes",,,,0.36607653199399287,,SBERT,0.6529236,potato wedges baked,4,4
kinder egg milk & white chocolate,Kinder egg (milk & white chocolate),"Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits",,,,0.6836087876113196,,SBERT,0.8489856,milk and white chocolate combination eg kinder egg snowflake,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
iced bun,Iced bun,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,4,0.8883987070261803,iced bun purchased,TF-IDF,,,,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
copy of fruit yoghurt,Copy of Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.5425408955409903,,SBERT,0.7370122,yogurts yoghurts fruit with added cream,4,4
chocolate hoops cereal,Chocolate hoops cereal,"Sugar coated breakfast cereals: sugar puffs, frosties",,,,0.6635111523924302,,SBERT,0.7616351,milk chocolate candy with cereal,4,4
ham sandwich with white/malted bread,Ham sandwich with white/malted bread,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,,,0.5117128464904502,,SBERT,0.709568,ham sandwich with spread,4,4
semi skimmed milk boiled,"Semi skimmed milk, boiled",Semi-skimmed milks: includes longlife semi-skimmed,3.0,boiled or mashed,,,,Keyword,,,,3.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
fish fingers grilled or oven baked,"Fish fingers, grilled or oven baked","Fish in crumbs: fishcakes, fishfingers",,,,0.7610153571875476,,SBERT,0.82895595,fish fingers grilled,4,4
sausage roll,Sausage roll,Pies and pastries,,,4,0.8680102107134795,vegetable sausage roll,TF-IDF,,,,4
blackcurrant squash / juice no added sugar diluted,"Blackcurrant squash / juice, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
melon watermelon,"Melon, watermelon",Fresh fruit,,,,0.6527277379003109,,SBERT,0.8227087,watermelon juice,1,1
chicken goujon/nugget/dipper in breadcrumb or batter,"Chicken goujon/nugget/dipper, in breadcrumb or batter",Chicken/Turkey in breadcrumbs,,,,0.6773678732045874,,SBERT,0.6078828,quorn in breadcrumbs inc nuggets dippers goujons burgers,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,SBERT,0.8401057,cucumber raw,1,1
oven chips,Oven chips,Oven chips,,,,0.7292925211576464,,SBERT,0.75998354,vegetable chips,4,4
chocolate squares/pillows breakfast cereal supermarket brands,"Chocolate squares/pillows, breakfast cereal, supermarket brands","Other breakfast cereals: muesli, bran flakes",4.0,dessert/snack item,,,,Keyword,,,,4.0
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,SBERT,0.8401057,cucumber raw,1,1
blueberries / bilberries,Blueberries / bilberries,Fresh fruit,,,1,0.9187297119045621,dried blueberries bilberries,TF-IDF,,,,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
