Descriptionen,Descriptionen_clean,NOVA_keyword,Keyword_reason,NOVA_tfidf,TFIDF_score,TFIDF_match,TFIDF_source,NOVA_sbert,SBERT_score,SBERT_match,SBERT_source,Model_disagree_flag,NOVA_disagree_flag,Decision_flag,NOVA_final,Matched_name,Final_source,Final_reason
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Kit Kat / Kit Kat Chunky (including supermarket own brand equivalents),kit kat / kit kat chunky (including supermarket own brand equivalents),,,,,,,,0.73835623,kit kat,,False,False,auto_accept,,,,Unmatched
"Chips, fried","chips, fried",,,,,,,4,0.81044054,chips fine cut fried in rapeseed oil mcdonalds,NDNS,False,False,auto_accept,4,chips fine cut fried in rapeseed oil mcdonalds,NDNS,SBERT matched
Pineapple,pineapple,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Weetabix / Wheat biscuits,weetabix / wheat biscuits,4.0,group: processed cereal (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: processed cereal (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Ham sandwich with white/malted bread,ham sandwich with white/malted bread,,,,,,,4,0.8466922,ham sandwich with spread,Giulia,False,False,auto_accept,4,ham sandwich with spread,Giulia,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Cod/haddock in batter, from takeaway","cod/haddock in batter, from takeaway",4.0,description: takeaway food,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: takeaway food
Potato rings (e.g. Hula Hoops),potato rings (e.g. hula hoops),,,4,1.0,potato rings eg hula hoops,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Cheddar cheese,cheddar cheese,,,3,1.0000000000000002,cheese cheddar irish,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
"Carrots, raw","carrots, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
Orange,orange,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Red grapes,red grapes,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Side salad (e.g. including lettuce, tomato, cucumber), no dressing","side salad (e.g. including lettuce, tomato, cucumber), no dressing",,,,,,,1,0.86263263,lettuce salad with assorted vegetables excluding tomatoes and carrots no dressing,Giulia,False,False,auto_accept,1,lettuce salad with assorted vegetables excluding tomatoes and carrots no dressing,Giulia,SBERT matched
"Chocolate digestive, biscuit","chocolate digestive, biscuit",,,,,,,4,0.8496423,digestives half coated in chocolate,NDNS,False,False,auto_accept,4,digestives half coated in chocolate,NDNS,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Baked potato / jacket potato, skin eaten","baked potato / jacket potato, skin eaten",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Beef lasagne,beef lasagne,,,,,,,4,0.8916625,lasagne beef ready meal,NDNS,False,False,auto_accept,4,lasagne beef ready meal,NDNS,SBERT matched
"Multigrain hoops (cheerios), supermarket brands","multigrain hoops (cheerios), supermarket brands",,,,,,,,0.79855144,multigrain hoops breakfast cereal supermarket brand,,False,False,auto_accept,,,,Unmatched
"Apple, skin eaten","apple, skin eaten",1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Cheddar cheese,cheddar cheese,,,3,1.0000000000000002,cheese cheddar irish,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
"Apple, skin eaten","apple, skin eaten",1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Mixed leaf salad, no dressing","mixed leaf salad, no dressing",,,,,,,1,0.87426615,mixed leaf salad,NDNS,False,False,auto_accept,1,mixed leaf salad,NDNS,SBERT matched
Digestive biscuit,digestive biscuit,,,,,,,,0.78710574,water biscuit,,False,False,auto_accept,,,,Unmatched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Yoplait Frubes/Wildlife Choobs,yoplait frubes/wildlife choobs,1.0,group: yoghurt/plain dairy (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: yoghurt/plain dairy (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Pineapple,pineapple,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Potato rings (e.g. Hula Hoops),potato rings (e.g. hula hoops),,,4,1.0,potato rings eg hula hoops,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Red grapes,red grapes,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Strawberries,strawberries,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Red grapes,red grapes,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Ham sandwich with white/malted bread,ham sandwich with white/malted bread,,,,,,,4,0.8466922,ham sandwich with spread,Giulia,False,False,auto_accept,4,ham sandwich with spread,Giulia,SBERT matched
"Baked potato / jacket potato, skin eaten","baked potato / jacket potato, skin eaten",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Fruit yoghurt,fruit yoghurt,,,,,,,4,0.8444589,wholemilk fruit yogurt yoghurt with added fibre,NDNS,False,False,auto_accept,4,wholemilk fruit yogurt yoghurt with added fibre,NDNS,SBERT matched
"Plantain, fried","plantain, fried",,,3,0.875990772834101,plantain boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
"Hot chocolate, made with milk","hot chocolate, made with milk",,,,,,,4,0.93273085,hot chocolate made with semi skimmed milk,NDNS,False,False,auto_accept,4,hot chocolate made with semi skimmed milk,NDNS,SBERT matched
"Cup cake/fairy cake, without icing","cup cake/fairy cake, without icing",,,,,,,1,0.83131516,cake cupcake chocolate without icing or filling,Giulia,False,False,auto_accept,1,cake cupcake chocolate without icing or filling,Giulia,SBERT matched
"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel","childrens' chewable vitamins with vitamin a (200ug), c (40mg), d (7.5ug), e (6mg), pastel",,,,,,,NC,0.9093065,childrens chewable vitamins a c d e,NDNS,False,False,auto_accept,NC,childrens chewable vitamins a c d e,NDNS,SBERT matched
Chocolate chip cookie,chocolate chip cookie,,,4,1.0000000000000002,cookie chocolate chip,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
White sugar,white sugar,,,3,1.0,sugar white,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
"Whole milk, boiled","whole milk, boiled",1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Tomato ketchup,tomato ketchup,4.0,description: processed ketchup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed ketchup
Oven chips,oven chips,,,,,,,4,0.8125655,potato chips oven ready baked,NDNS,False,False,auto_accept,4,potato chips oven ready baked,NDNS,SBERT matched
Yam,yam,,,3,1.0,yam boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Cheese and tomato pizza (e.g. Margherita),cheese and tomato pizza (e.g. margherita),,,,,,,,0.76612186,pizza with triple cheese or cheese feast with or without tomato with any base retail,,False,False,auto_accept,,,,Unmatched
Fried egg,fried egg,,,,,,,1,0.94582075,egg whole fried,Giulia,False,False,auto_accept,1,egg whole fried,Giulia,SBERT matched
"Hot chocolate, made with milk","hot chocolate, made with milk",,,,,,,4,0.93273085,hot chocolate made with semi skimmed milk,NDNS,False,False,auto_accept,4,hot chocolate made with semi skimmed milk,NDNS,SBERT matched
Whole milk,whole milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Apple, skin eaten","apple, skin eaten",1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Digestive biscuit,digestive biscuit,,,,,,,,0.78710574,water biscuit,,False,False,auto_accept,,,,Unmatched
"Plantain, fried","plantain, fried",,,3,0.875990772834101,plantain boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Baked beans,baked beans,,,3,1.0,baked beans nfs,Giulia,,,,,False,False,auto_accept,3,,Giulia,TF-IDF matched
Yam,yam,,,3,1.0,yam boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Malt extract,malt extract,4.0,group: preserves (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: preserves (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Carrots, raw","carrots, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
"Sweetcorn / sweet corn, canned","sweetcorn / sweet corn, canned",,,,,,,,0.76929724,sweetcorn canned drained added sugar and or salt,,False,False,auto_accept,,,,Unmatched
"Sweetcorn / sweet corn, cooked","sweetcorn / sweet corn, cooked",,,,,,,,0.7410327,corn cooked from fresh with cream sauce made with milk,,False,False,auto_accept,,,,Unmatched
"Carrots, raw","carrots, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
Tomato ketchup,tomato ketchup,4.0,description: processed ketchup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed ketchup
"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel","childrens' chewable vitamins with vitamin a (200ug), c (40mg), d (7.5ug), e (6mg), pastel",,,,,,,NC,0.9093065,childrens chewable vitamins a c d e,NDNS,False,False,auto_accept,NC,childrens chewable vitamins a c d e,NDNS,SBERT matched
Baked beans,baked beans,,,3,1.0,baked beans nfs,Giulia,,,,,False,False,auto_accept,3,,Giulia,TF-IDF matched
Baked beans,baked beans,,,3,1.0,baked beans nfs,Giulia,,,,,False,False,auto_accept,3,,Giulia,TF-IDF matched
Fried egg,fried egg,,,,,,,1,0.94582075,egg whole fried,Giulia,False,False,auto_accept,1,egg whole fried,Giulia,SBERT matched
Baked beans,baked beans,,,3,1.0,baked beans nfs,Giulia,,,,,False,False,auto_accept,3,,Giulia,TF-IDF matched
"Galaxy caramel, chocolate bar","galaxy caramel, chocolate bar",,,,,,,,0.7589127,caramel wafer bar covered in chocolate,,False,False,auto_accept,,,,Unmatched
Cheese and tomato pizza (e.g. Margherita),cheese and tomato pizza (e.g. margherita),,,,,,,,0.76612186,pizza with triple cheese or cheese feast with or without tomato with any base retail,,False,False,auto_accept,,,,Unmatched
Whole milk,whole milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Digestive biscuit,digestive biscuit,,,,,,,,0.78710574,water biscuit,,False,False,auto_accept,,,,Unmatched
White sugar,white sugar,,,3,1.0,sugar white,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Chocolate chip cookie with nut,chocolate chip cookie with nut,,,,,,,4,0.8771697,cookie chocolate chip,Giulia,False,False,auto_accept,4,cookie chocolate chip,Giulia,SBERT matched
White Grapes,white grapes,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Rice Krispies, supermarket brands (e.g. Rice Snaps/Pops)","rice krispies, supermarket brands (e.g. rice snaps/pops)",4.0,group: processed cereal (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: processed cereal (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Sports drink,sports drink,,,4,1.0,gatorade thirst quencher sports drink,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
"Chocolate coated biscuit (e.g. Rocky bar, Club, Breakaway)","chocolate coated biscuit (e.g. rocky bar, club, breakaway)",,,,,,,4,0.81229305,chocolate crisp biscuit bar,NDNS,False,False,auto_accept,4,chocolate crisp biscuit bar,NDNS,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Red grapes,red grapes,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Cup cake/fairy cake, without icing","cup cake/fairy cake, without icing",,,,,,,1,0.83131516,cake cupcake chocolate without icing or filling,Giulia,False,False,auto_accept,1,cake cupcake chocolate without icing or filling,Giulia,SBERT matched
Honey,honey,4.0,group: preserves (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: preserves (group)
Whole milk,whole milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Honey,honey,4.0,group: preserves (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: preserves (group)
"Chocolate coated cake bar, individual","chocolate coated cake bar, individual",,,,,,,4,0.8930633,chocolate coated cake bars individual purchased,NDNS,False,False,auto_accept,4,chocolate coated cake bars individual purchased,NDNS,SBERT matched
Fruit yoghurt,fruit yoghurt,,,,,,,4,0.8444589,wholemilk fruit yogurt yoghurt with added fibre,NDNS,False,False,auto_accept,4,wholemilk fruit yogurt yoghurt with added fibre,NDNS,SBERT matched
"Chips, fried","chips, fried",,,,,,,4,0.81044054,chips fine cut fried in rapeseed oil mcdonalds,NDNS,False,False,auto_accept,4,chips fine cut fried in rapeseed oil mcdonalds,NDNS,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Plantain, fried","plantain, fried",,,3,0.875990772834101,plantain boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
"Onions, cooked","onions, cooked",,,,,,,1,0.8550059,onions mature cooked from fresh ns as to fat added in cooking,Giulia,False,False,auto_accept,1,onions mature cooked from fresh ns as to fat added in cooking,Giulia,SBERT matched
Fish sauce,fish sauce,,,4,1.0000000000000002,fish sauce bagoong,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
"Vegetarian meat-style burger (e.g Quorn), no bun","vegetarian meat-style burger (e.g quorn), no bun",,,,,,,4,0.89435947,vegetarian burger or patty meatless no bun,Giulia,False,False,auto_accept,4,vegetarian burger or patty meatless no bun,Giulia,SBERT matched
Whole milk,whole milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Baked beans,baked beans,,,3,1.0,baked beans nfs,Giulia,,,,,False,False,auto_accept,3,,Giulia,TF-IDF matched
Mango,mango,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Boiled egg,boiled egg,3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
"Chocolate coated biscuit (e.g. Rocky bar, Club, Breakaway)","chocolate coated biscuit (e.g. rocky bar, club, breakaway)",,,,,,,4,0.81229305,chocolate crisp biscuit bar,NDNS,False,False,auto_accept,4,chocolate crisp biscuit bar,NDNS,SBERT matched
Whole milk,whole milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Cup cake/fairy cake, without icing","cup cake/fairy cake, without icing",,,,,,,1,0.83131516,cake cupcake chocolate without icing or filling,Giulia,False,False,auto_accept,1,cake cupcake chocolate without icing or filling,Giulia,SBERT matched
"New potatoes, without skins","new potatoes, without skins",,,1,1.0,potatoes new boiled without skins,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Fish fingers, grilled or oven baked","fish fingers, grilled or oven baked",,,,,,,4,0.8527632,fish fingers economy batter breadcrumb grilled,NDNS,False,False,auto_accept,4,fish fingers economy batter breadcrumb grilled,NDNS,SBERT matched
"Red rice, boiled (Heenati, boiled)","red rice, boiled (heenati, boiled)",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
Chocolate hoops cereal,chocolate hoops cereal,,,,,,,4,0.81880236,tesco chocco chocolate hoops cereal fortified,NDNS,False,False,auto_accept,4,tesco chocco chocolate hoops cereal fortified,NDNS,SBERT matched
"Corn snacks (e.g. Monster Munch, Wotsits, Transform-A-Snack)","corn snacks (e.g. monster munch, wotsits, transform-a-snack)",,,4,0.9492781276035059,corn based snacks eg monster munch wotsits transform a snack,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel","childrens' chewable vitamins with vitamin a (200ug), c (40mg), d (7.5ug), e (6mg), pastel",,,,,,,NC,0.9093065,childrens chewable vitamins a c d e,NDNS,False,False,auto_accept,NC,childrens chewable vitamins a c d e,NDNS,SBERT matched
Whole milk,whole milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Apple, skin eaten","apple, skin eaten",1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Chocolate digestive, biscuit","chocolate digestive, biscuit",,,,,,,4,0.8496423,digestives half coated in chocolate,NDNS,False,False,auto_accept,4,digestives half coated in chocolate,NDNS,SBERT matched
White pepper,white pepper,,,3,0.9145739076599715,pepper,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Chocolate digestive, biscuit","chocolate digestive, biscuit",,,,,,,4,0.8496423,digestives half coated in chocolate,NDNS,False,False,auto_accept,4,digestives half coated in chocolate,NDNS,SBERT matched
Chocolate spread,chocolate spread,4.0,description: spread/syrup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: spread/syrup
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"White rice, e.g. long-grain (including easy-cook)","white rice, e.g. long-grain (including easy-cook)",,,,,,,4,0.8281008,rice white easy cook dried,NDNS,False,False,auto_accept,4,rice white easy cook dried,NDNS,SBERT matched
Fish sauce,fish sauce,,,4,1.0000000000000002,fish sauce bagoong,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
"Plantain, fried","plantain, fried",,,3,0.875990772834101,plantain boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Crunchy oat cereal (granola) with fruit and nuts,crunchy oat cereal (granola) with fruit and nuts,4.0,group: processed cereal (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: processed cereal (group)
Orange,orange,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Baked potato / jacket potato, skin eaten","baked potato / jacket potato, skin eaten",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
Yam,yam,,,3,1.0,yam boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
"Carrots, raw","carrots, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
Digestive biscuit,digestive biscuit,,,,,,,,0.78710574,water biscuit,,False,False,auto_accept,,,,Unmatched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel","childrens' chewable vitamins with vitamin a (200ug), c (40mg), d (7.5ug), e (6mg), pastel",,,,,,,NC,0.9093065,childrens chewable vitamins a c d e,NDNS,False,False,auto_accept,NC,childrens chewable vitamins a c d e,NDNS,SBERT matched
Red grapes,red grapes,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
White bread,white bread,,,4,1.0,bread white soda,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Whole milk,whole milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Boiled egg,boiled egg,3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
"Pear, skin eaten","pear, skin eaten",1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Chocolate chip cookie with nut,chocolate chip cookie with nut,,,,,,,4,0.8771697,cookie chocolate chip,Giulia,False,False,auto_accept,4,cookie chocolate chip,Giulia,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Chapati, white","chapati, white",,,,,,,,0.7864219,chapati white made without fat,,False,False,auto_accept,,,,Unmatched
"Chips, fried","chips, fried",,,,,,,4,0.81044054,chips fine cut fried in rapeseed oil mcdonalds,NDNS,False,False,auto_accept,4,chips fine cut fried in rapeseed oil mcdonalds,NDNS,SBERT matched
"Frosted Flakes cereal, supermarket brands","frosted flakes cereal, supermarket brands",,,,,,,4,0.83456266,reduced sugar frosted flakes cereal kellogg s,Giulia,False,False,auto_accept,4,reduced sugar frosted flakes cereal kellogg s,Giulia,SBERT matched
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max","diet coca-cola, e.g. coke zero, pepsi max",,,,,,,,0.75635827,diet coke plus vitamins,,False,False,auto_accept,,,,Unmatched
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Chicken burger/turkey burger, fried (no bun)","chicken burger/turkey burger, fried (no bun)",,,,,,,,0.77197975,chicken burger and bun purchased,,False,False,auto_accept,,,,Unmatched
"Mixed fruit juice, 100% fruit (e.g. Tropicana)","mixed fruit juice, 100% fruit (e.g. tropicana)",,,,,,,,0.7853129,fruit juice drink,,False,False,auto_accept,,,,Unmatched
Banana,banana,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Potato crisps (e.g. Walkers),potato crisps (e.g. walkers),,,,,,,4,0.8364896,potato crisps in sunseed oil eg walkers sensations sainsbury and tesco standard crisps,NDNS,False,False,auto_accept,4,potato crisps in sunseed oil eg walkers sensations sainsbury and tesco standard crisps,NDNS,SBERT matched
