Descriptionen,Failure_reason
Cheese and tomato pizza (e.g. Margherita),No match found
Ice lolly,No match found
Chicken pasty/slice,No match found
"Ribena squash / juice , diluted, no added sugar",No match found
"Ribena squash / juice , diluted, no added sugar",No match found
Cadbury Dairy Milk Caramel Chocolate,No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Ribena squash / juice , diluted, no added sugar",No match found
Candy coated chocolate drops (e.g. mini eggs),No match found
Tuna mayo & cucumber/sweetcorn sandwich with wholemeal/oatmeal bread,No match found
"Kebab with hung curd, paneer and potato, in cornflour, deep fried (Dahi kabab)",No match found
"Ribena squash / juice , diluted, no added sugar",No match found
"Chicken kebab, roll or wrap, made with white chapati flour",No match found
Lentil dahl/ curry (Masar daal gravy),No match found
"Orange squash, no added sugar, diluted",No match found
"Other fizzy diet drinks, no juice (e.g. Ginger beer light, Dr Pepper diet)",No match found
"Orange squash, no added sugar, diluted",No match found
Copy of Fruit yoghurt,No match found
Mozzarella dippers / sticks,No match found
Tuna mayo sandwich with white/malted bread,No match found
Mayonnaise (e.g. Hellmans),No match found
Copy of Fruit yoghurt,No match found
"50/50 bread (e.g. Kingsmill, Warburtons)",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Tea, black with spices (Masala chai/ chai/ Pal tea/ Halu tea/ Pala tea/ Chae/Cha)",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Chapati, wholemeal (brown)",No match found
Scotch pancake/drop scone,No match found
"Sandwich thins, wholemeal (brown)",No match found
Twix (chocolate & caramel biscuit fingers),No match found
"Cookies, other flavours (not chocolate) (e.g. Good day)",No match found
Yoghurt Lolly (e.g. Yoo Moo),No match found
Pigs in blankets,No match found
Pepperami or snack salami,No match found
Malt loaf (e.g. Soreen),No match found
"Sandwich thins, white",No match found
Spicy/sweet chilli chicken wrap,No match found
Scotch pancake/drop scone,No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Sweetcorn / sweet corn, canned",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Wrap/tortilla, white",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Pom Bears (crisps),No match found
"Coca-Cola/Coke/Pepsi, supermarket brands",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
Scotch pancake/drop scone,No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
Chocolate mini roll,No match found
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Utterly Butterly,No match found
"Twin pot yoghurt, with fruit (e.g. Muller Corner)",No match found
Lentil dahl/ curry (Masar daal gravy),No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Utterly Butterly,No match found
Spicy/sweet chilli chicken wrap,No match found
Light mayonnaise (e.g. Hellmans light),No match found
Tuna mayo sandwich with white/malted bread,No match found
Coca-Cola/Coke/Pepsi,No match found
Coca-Cola/Coke/Pepsi,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Coca-Cola/Coke/Pepsi,No match found
Coca-Cola/Coke/Pepsi,No match found
"Chips, french fries/fine cut, fried (from frozen)",No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Coca-Cola/Coke/Pepsi,No match found
"Wrap/tortilla, white",No match found
Oaty biscuit (e.g. Hob nob),No match found
Pulled pork,No match found
"Courgette (zucchini), cooked",No match found
Cadbury cream / crème egg,No match found
Malteser bunny,No match found
Mini cheddars,No match found
"Multigrain hoops (cheerios), supermarket brands",No match found
"Wrap/tortilla, white",No match found
Caramel egg,No match found
Vegetarian meat-free slices (e.g. Quorn chicken/ham-style),No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Orange squash, no added sugar, diluted",No match found
"Ice lolly, juice-based (e.g. Fruit Pastilles)",No match found
Ice lolly,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Scotch pancake/drop scone,No match found
Ice lolly,No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
Ham sandwich with wholemeal/oatmeal bread,No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Potato shapes (e.g. Alphabites, Smilies), fried",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Ice lolly, juice-based (e.g. Fruit Pastilles)",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Potato shapes (e.g. Alphabites, Smilies), fried",No match found
Scotch pancake/drop scone,No match found
Pom Bears (crisps),No match found
"Orange squash, no added sugar, diluted",No match found
"Ribena squash / juice , diluted, no added sugar",No match found
"Ice lolly, juice-based (e.g. Fruit Pastilles)",No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
Scotch pancake/drop scone,No match found
"Orange squash, no added sugar, diluted",No match found
"Sweetcorn / sweet corn, cooked",No match found
Cadbury cream / crème egg,No match found
"Broccoli, steamed/microwaved",No match found
"Hash browns, grilled / baked",No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
Chocolate mini roll,No match found
"Wrap/tortilla, white",No match found
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",No match found
"Coco Pops/Snaps, supermarket brands",No match found
Cadbury cream / crème egg,No match found
Red berry fruit smoothie,No match found
Malt loaf (e.g. Soreen),No match found
Copy of Fruit yoghurt,No match found
Cake slice with chocolate chip,No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Iced lemon/angel cake slice (e.g. Mr Kipling),No match found
"Sweetcorn / sweet corn, canned",No match found
Copy of Fruit yoghurt,No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Vegetarian mince chilli (e.g. Quorn),No match found
Vegetable smoothie,No match found
Tuna mayo sandwich with white/malted bread,No match found
Tuna mayo sandwich with white/malted bread,No match found
"Orange squash, no added sugar, diluted",No match found
"Honey hoops cereal (cheerios), supermarket brands",No match found
Rice with minced mutton (Khasir kima et biryani),No match found
"Orange squash, no added sugar, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Chapati, white",No match found
"Plain dosa, made with lentils and rice (no filling)",No match found
"Orange squash, no added sugar, diluted",No match found
Tuna mayo sandwich with white/malted bread,No match found
"Orange squash, no added sugar, diluted",No match found
"Chicken and vegetable roll or wrap, made with white chapati flour (Shawarma)",No match found
Ham sandwich with wholemeal/oatmeal bread,No match found
"Sweetcorn / sweet corn, canned",No match found
Decaf tea,No match found
Decaf tea,No match found
"Blackcurrant squash , high juice, no added sugar, diluted",No match found
"Blackcurrant squash , high juice, no added sugar, diluted",No match found
Cheese salad sub roll/baguette,No match found
"Pasta shapes, wholemeal",No match found
"Sweetcorn / sweet corn, canned",No match found
Decaf tea,No match found
Decaf tea,No match found
"Sweetcorn / sweet corn, cooked",No match found
Dairy squirty/spray cream (e.g. anchor),No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Twin pot yoghurt, with fruit (e.g. Muller Corner)",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Scotch pancake/drop scone,No match found
Dairy squirty/spray cream (e.g. anchor),No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Orange squash, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
Slimming world chips,No match found
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),No match found
Chocolate mini roll,No match found
"Sweetcorn / sweet corn, cooked",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"50/50 bread (e.g. Kingsmill, Warburtons)",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Vegetarian meat-free slices (e.g. Quorn chicken/ham-style),No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Vegetarian meatballs (e.g. Quorn meatballs),No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Vegetarian meat-free slices (e.g. Quorn chicken/ham-style),No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),No match found
Wispa bar (including supermarket equivalent),No match found
Vegetarian meat-free slices (e.g. Quorn chicken/ham-style),No match found
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Sweetcorn / sweet corn, cooked",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Vegetarian meat-style sausage (e.g. Linda McCartney), not Quorn",No match found
Chocolate mini roll,No match found
"50/50 bread (e.g. Kingsmill, Warburtons)",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Samosa chaat, with chickpeas, yoghurt, potato, tamarind sauce (Samosa chaat)",No match found
Rice with minced mutton (Khasir kima et biryani),No match found
"Orange /citrus/pineapple juice drink, ready to drink, no added sugar",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Orange squash, no added sugar, diluted",No match found
"Semolina cake, steamed (Rava Idli)",No match found
Hot pepper sauce (e.g. Tabasco),No match found
"Sweet snack, rice flour, semolina, egg, ghee, sesame seeds and sugar, deep fried (Andarasay)",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Digestive biscuit,No match found
Pom Bears (crisps),No match found
Digestive biscuit,No match found
Tuna mayo sandwich with wholemeal/oatmeal bread,No match found
Digestive biscuit,No match found
Tuna mayo sandwich with wholemeal/oatmeal bread,No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
Pepperami or snack salami,No match found
Babybel cheese,No match found
Cadbury cream / crème egg,No match found
"Coco Pops/Snaps, supermarket brands",No match found
Tuna mayo sandwich with white/malted bread,No match found
Red berry fruit smoothie,No match found
Red berry fruit smoothie,No match found
Digestive biscuit,No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
Houmous/hummus,No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Chapati, white, shop-bought",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Houmous/hummus,No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
Houmous/hummus,No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",No match found
Weetabix Weetos,No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
Cheese sandwich with wholemeal/oatmeal bread,No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Weetabix Weetos,No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Vimto, still",No match found
Pom Bears (crisps),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Pom Bears (crisps),No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
"Crinkle-cut crisps (e.g. McCoy's, Seabrooks)",No match found
"Chips, french fries/fine cut, fried (from frozen)",No match found
Chocolate mini roll,No match found
Processed cheese slices (e.g. individually wrapped for melting on burgers),No match found
"Sweetcorn / sweet corn, canned",No match found
"Mango juice drink, ready to drink (e.g. Frooti)",No match found
Digestive biscuit,No match found
"Tea, black with spices (Masala chai/ chai/ Pal tea/ Halu tea/ Pala tea/ Chae/Cha)",No match found
"Chips, french fries/fine cut, fried (from frozen)",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Sparkling apple juice drink (e.g. tango apple),No match found
"Coco Pops/Snaps, supermarket brands",No match found
"Custard, flavoured, ready to eat (e.g. Ambrosia chocolate custard)",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Coco Pops/Snaps, supermarket brands",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Spicy/sweet chilli chicken wrap,No match found
"Chicken and vegetable roll or wrap, made with chickpea flour (Shawarma)",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Mayonnaise (e.g. Hellmans),No match found
"Custard, flavoured, ready to eat (e.g. Ambrosia chocolate custard)",No match found
Brioche burger bun/hot dog bun,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Beef burger, reduced fat, grilled (no bun)",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Cheese sandwich with wholemeal/oatmeal bread,No match found
Cannellini beans,No match found
Pom Bears (crisps),No match found
"Wrap/tortilla, white",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Courgette (zucchini), cooked",No match found
"Cereal bar, plain (e.g. Nature Valley)",No match found
"Red/yellow/orange pepper, cooked",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Wrap/tortilla, white",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Chapati, white",No match found
Rice with minced mutton (Khasir kima et biryani),No match found
"Mixed fruit juice, 100% fruit (e.g. Tropicana)",No match found
7 up / Sprite,No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
Fanta,No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Digestive biscuit,No match found
"Orange squash, no added sugar, diluted",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Brown sauce (e.g. HP, Daddies)",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
Scotch pancake/drop scone,No match found
"Hash browns, grilled / baked",No match found
"Fruit squash / juice, with ADDED SUGAR, diluted",No match found
Chicken skewer,No match found
Pom Bears (crisps),No match found
"Chocolate and caramel biscuit bars (e.g. Drifter, Rocky Caramel)",No match found
"Orange squash / juice, with ADDED SUGAR, diluted",No match found
"Sweetcorn / sweet corn, canned",No match found
Fox's party rings,No match found
"Orange squash, no added sugar, diluted",No match found
Corn on the cob (sweetcorn),No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Scotch pancake/drop scone,No match found
Fanta,No match found
Houmous/hummus,No match found
"Vimto, still",No match found
"Cereal bar, low calorie (e.g. Alpen light bar)",No match found
"Broccoli, steamed/microwaved",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Single strength squash, with ADDED SUGAR, not diluted (e.g. Vimto, Miwadi)",No match found
"Chips, french fries/fine cut, fried (from frozen)",No match found
"Vegetarian meat-style sausage (e.g. Linda McCartney), not Quorn",No match found
"Fruit squash / juice, no added sugar, diluted",No match found
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Scotch pancake/drop scone,No match found
"Paratha, white",No match found
"50/50 bread (e.g. Kingsmill, Warburtons)",No match found
"Ribena squash / juice, diluted, with ADDED SUGAR",No match found
Ritz crisp and thins,No match found
"Ribena squash / juice , diluted, no added sugar",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Tuna mayo & cucumber/sweetcorn sandwich with white/malted bread,No match found
Pom Bears (crisps),No match found
"Chapati, white",No match found
"Chips, french fries/fine cut, fried (from frozen)",No match found
"Ribena squash / juice, diluted, with ADDED SUGAR",No match found
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",No match found
"Mango juice drink, ready to drink (e.g. Frooti)",No match found
Twister ice lolly,No match found
Robinson's fruit shoot juiced,No match found
"Vegetarian meat-style sausage (e.g. Linda McCartney), not Quorn",No match found
Lentil dahl/ curry (Masar daal gravy),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Paratha, white",No match found
Sparkling apple juice drink (e.g. tango apple),No match found
"Mango juice drink, ready to drink (e.g. Frooti)",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",No match found
Chicken/turkey kebab,No match found
"50/50 bread (e.g. Kingsmill, Warburtons)",No match found
"Vegetarian chicken-style nuggets/goujons, in breadcrumbs (e.g. Quorn nuggets)",No match found
Semolina,No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
Egg mayo sandwich with wholemeal/oatmeal bread,No match found
Cheese sandwich with wholemeal/oatmeal bread,No match found
"Orange juice, 100% fruit (e.g. Tropicana)",No match found
"Bread, crispy, made with white chapati flour, fenugreek leaves and spices (Methi khakra)",No match found
"Honey hoops cereal (cheerios), supermarket brands",No match found
"Honey hoops cereal (cheerios), supermarket brands",No match found
"Crinkle-cut crisps (e.g. McCoy's, Seabrooks)",No match found
"Honey hoops cereal (cheerios), supermarket brands",No match found
"Honey hoops cereal (cheerios), supermarket brands",No match found
Magnum classic or white,No match found
"Broccoli, steamed/microwaved",No match found
"Sweetcorn / sweet corn, canned",No match found
"Ribena squash / juice, diluted, with ADDED SUGAR",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Sweetcorn / sweet corn, cooked",No match found
"Broccoli, steamed/microwaved",No match found
Couscous (plain),No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Bacon, back/middle, unsmoked, grilled (fat removed)",No match found
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Hash browns, fried",No match found
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",No match found
"Orange squash, no added sugar, diluted",No match found
"Ice lolly, juice-based (e.g. Fruit Pastilles)",No match found
"Sweetcorn / sweet corn, cooked",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Sweetcorn / sweet corn, cooked",No match found
"Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Scotch pancake/drop scone,No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Light mayonnaise (e.g. Hellmans light),No match found
Babybel cheese,No match found
Cheese sandwich with wholemeal/oatmeal bread,No match found
"Multigrain hoops (cheerios), supermarket brands",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Chicken goujon/nugget/dipper, in breadcrumb or batter",No match found
"Rice cake, savoury flavoured (e.g. Snack a Jacks)",No match found
Mayonnaise (e.g. Hellmans),No match found
"Broccoli, steamed/microwaved",No match found
Mayonnaise (e.g. Hellmans),No match found
Robinson's fruit shoot juiced,No match found
Lentil dahl/ curry (Masar daal gravy),No match found
"Toast, slimmers bread, wholemeal (brown) (e.g. Nimble)",No match found
Babybel cheese,No match found
Pringles,No match found
Babybel cheese,No match found
Cornetto/king cone (Including supermarket brands),No match found
"Multigrain hoops (cheerios), supermarket brands",No match found
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),No match found
Corn on the cob (sweetcorn),No match found
Mayonnaise (e.g. Hellmans),No match found
"Horlicks/Ovaltine, made with milk",No match found
"Dumplings, wheat flour, stuffed with gram flour, aubergine and tomato (Lithi choka)",No match found
Egg mayo sandwich with white/malted bread,No match found
Fanta,No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
Cheese sandwich with wholemeal/oatmeal bread,No match found
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",No match found
Mixed meat kebab (meat only),No match found
"Horlicks/Ovaltine, made with milk",No match found
Walker Sensations crisps,No match found
Fanta Zero,No match found
Fanta Zero,No match found
"Galaxy caramel, chocolate bar",No match found
"Horlicks/Ovaltine, made with milk",No match found
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",No match found
Processed cheese slices (e.g. individually wrapped for melting on burgers),No match found
Cheese sandwich with wholemeal/oatmeal bread,No match found
Walker Sensations crisps,No match found
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast), stuffed crust",No match found
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",No match found
Lollipops (e.g. Chupa Chups),No match found
Tuna mayo sandwich with white/malted bread,No match found
Tuna mayo sandwich with white/malted bread,No match found
Lollipops (e.g. Chupa Chups),No match found
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
"Vimto, still",No match found
"Cereal bar, plain (e.g. Nature Valley)",No match found
"Orange squash, no added sugar, diluted",No match found
Sparkling apple juice drink (e.g. tango apple),No match found
Cornetto/king cone (Including supermarket brands),No match found
"Flatbread / flat bread, plain",No match found
Cake slice with chocolate chip,No match found
"Wrap/tortilla, white",No match found
Lentil dahl/ curry (Masar daal gravy),No match found
Fanta,No match found
Coca-Cola/Coke/Pepsi,No match found
Yellow lentils (Peeli dal),No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Coca-Cola/Coke/Pepsi,No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
"Chips, french fries/fine cut, fried (from frozen)",No match found
Digestive biscuit,No match found
Coca-Cola/Coke/Pepsi,No match found
"Sweet, chickpea flour balls, small, deep fried (Meethi boondi)",No match found
Malt loaf (e.g. Soreen),No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Vermicelli / rice noodles (including glass/thread noodles),No match found
Soya beans / edamame beans,No match found
"Flatbread / flat bread, plain",No match found
Houmous/hummus,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Sweetcorn / sweet corn, cooked",No match found
Decaf tea,No match found
"Potato shapes (e.g. Alphabites, Smilies), grilled/baked",No match found
Ice lolly,No match found
Gingerbread/cake (including parkin),No match found
Malt loaf (e.g. Soreen),No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Tenderstem broccoli, cooked",No match found
Copy of Fruit yoghurt,No match found
Fox's party rings,No match found
"Sweet potato curry, with coconut milk (Bathala maluwa)",No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Orange squash, no added sugar, diluted",No match found
Okra (ladies fingers/bhindi),No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Stock / consomme (any clear soup),No match found
Mozzarella dippers / sticks,No match found
Mayonnaise (e.g. Hellmans),No match found
Flaked almonds,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
"Wrap/tortilla, white",No match found
Almond slices (e.g. Mr Kipling),No match found
"Crinkle-cut crisps (e.g. McCoy's, Seabrooks)",No match found
"Mustard (including English, dijon, wholegrain)",No match found
Flaked almonds,No match found
"Blackcurrant squash / juice, no added sugar, diluted",No match found
Chia seeds,No match found
Almond slices (e.g. Mr Kipling),No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
"Bread, crispy, made with white chapati flour, fenugreek leaves and spices (Methi khakra)",No match found
Processed cheese slices (e.g. individually wrapped for melting on burgers),No match found
Mint chutney (Minchi sambola),No match found
Beef kebab,No match found
Processed cheese slices (e.g. individually wrapped for melting on burgers),No match found
Kidney beans,No match found
Processed cheese slices (e.g. individually wrapped for melting on burgers),No match found
"Diet Coca-Cola, e.g. Coke Zero, Pepsi Max",No match found
"Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Spaghetti/tagliatelle (pasta), white or tricolore",No match found
Light mayonnaise (e.g. Hellmans light),No match found
"Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Yoghurt drink, any flavour (e.g. Kotmale, Anchor) (Drinking yoghurt)",No match found
Cheese and tomato pizza (e.g. Margherita),No match found
Magnum classic or white,No match found
"Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted",No match found
"Cookies, other flavours (not chocolate) (e.g. Good day)",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
"Apple and blackcurrant squash, no added sugar, diluted",No match found
Utterly Butterly,No match found
"Crinkle-cut crisps (e.g. McCoy's, Seabrooks)",No match found
