Descriptionen,NOVA_final_fallback,Fallback_source,Fallback_reason
Cadbury cream / crème egg,1,Giulia,SBERT fallback
Red berry fruit smoothie,4,NDNS,SBERT fallback
Malt loaf (e.g. Soreen),4,NDNS,SBERT fallback
Copy of Fruit yoghurt,4,NDNS,SBERT fallback
Cake slice with chocolate chip,3,Giulia,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
Iced lemon/angel cake slice (e.g. Mr Kipling),1,Giulia,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
Copy of Fruit yoghurt,4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
Vegetarian mince chilli (e.g. Quorn),4,Giulia,SBERT fallback
Vegetable smoothie,1,NDNS,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Honey hoops cereal (cheerios), supermarket brands",4,NDNS,SBERT fallback
Rice with minced mutton (Khasir kima et biryani),3,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
"Plain dosa, made with lentils and rice (no filling)",3,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Chicken and vegetable roll or wrap, made with white chapati flour (Shawarma)",3,NDNS,SBERT fallback
Ham sandwich with wholemeal/oatmeal bread,4,Giulia,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
Decaf tea,1,NDNS,SBERT fallback
Decaf tea,1,NDNS,SBERT fallback
"Blackcurrant squash , high juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash , high juice, no added sugar, diluted",4,NDNS,SBERT fallback
Cheese salad sub roll/baguette,1,Giulia,SBERT fallback
"Pasta shapes, wholemeal",1,Giulia,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
Decaf tea,1,NDNS,SBERT fallback
Decaf tea,1,NDNS,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
Dairy squirty/spray cream (e.g. anchor),3,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Twin pot yoghurt, with fruit (e.g. Muller Corner)",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
Dairy squirty/spray cream (e.g. anchor),3,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Slimming world chips,4,NDNS,SBERT fallback
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),4,NDNS,SBERT fallback
Chocolate mini roll,4,Giulia,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"50/50 bread (e.g. Kingsmill, Warburtons)",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
Vegetarian meat-free slices (e.g. Quorn chicken/ham-style),4,Giulia,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
Vegetarian meatballs (e.g. Quorn meatballs),3,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Spaghetti/tagliatelle (pasta), white or tricolore",1,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
Vegetarian meat-free slices (e.g. Quorn chicken/ham-style),4,Giulia,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),4,NDNS,SBERT fallback
Wispa bar (including supermarket equivalent),4,NDNS,SBERT fallback
Vegetarian meat-free slices (e.g. Quorn chicken/ham-style),4,Giulia,SBERT fallback
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),4,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Vegetarian meat-style sausage (e.g. Linda McCartney), not Quorn",4,NDNS,SBERT fallback
Chocolate mini roll,4,Giulia,SBERT fallback
"50/50 bread (e.g. Kingsmill, Warburtons)",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Samosa chaat, with chickpeas, yoghurt, potato, tamarind sauce (Samosa chaat)",4,Giulia,SBERT fallback
Rice with minced mutton (Khasir kima et biryani),3,NDNS,SBERT fallback
"Orange /citrus/pineapple juice drink, ready to drink, no added sugar",4,Giulia,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Semolina cake, steamed (Rava Idli)",1,Giulia,SBERT fallback
Hot pepper sauce (e.g. Tabasco),4,NDNS,SBERT fallback
"Sweet snack, rice flour, semolina, egg, ghee, sesame seeds and sugar, deep fried (Andarasay)",3,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Tuna mayo sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Tuna mayo sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
Pepperami or snack salami,4,NDNS,SBERT fallback
Babybel cheese,4,Giulia,SBERT fallback
Cadbury cream / crème egg,1,Giulia,SBERT fallback
"Coco Pops/Snaps, supermarket brands",4,NDNS,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
Red berry fruit smoothie,4,NDNS,SBERT fallback
Red berry fruit smoothie,4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Houmous/hummus,1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Chapati, white, shop-bought",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Houmous/hummus,1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Houmous/hummus,1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",4,Giulia,SBERT fallback
Weetabix Weetos,4,NDNS,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
Cheese sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
Weetabix Weetos,4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Chicken goujon/nugget/dipper, in breadcrumb or batter",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Crinkle-cut crisps (e.g. McCoy's, Seabrooks)",4,NDNS,SBERT fallback
"Chips, french fries/fine cut, fried (from frozen)",4,NDNS,SBERT fallback
Chocolate mini roll,4,Giulia,SBERT fallback
Processed cheese slices (e.g. individually wrapped for melting on burgers),4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
"Mango juice drink, ready to drink (e.g. Frooti)",1,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
"Tea, black with spices (Masala chai/ chai/ Pal tea/ Halu tea/ Pala tea/ Chae/Cha)",1,Giulia,SBERT fallback
"Chips, french fries/fine cut, fried (from frozen)",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
Sparkling apple juice drink (e.g. tango apple),1,Giulia,SBERT fallback
"Coco Pops/Snaps, supermarket brands",4,NDNS,SBERT fallback
"Custard, flavoured, ready to eat (e.g. Ambrosia chocolate custard)",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Coco Pops/Snaps, supermarket brands",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Spicy/sweet chilli chicken wrap,4,NDNS,SBERT fallback
"Chicken and vegetable roll or wrap, made with chickpea flour (Shawarma)",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
Mayonnaise (e.g. Hellmans),4,Giulia,SBERT fallback
"Custard, flavoured, ready to eat (e.g. Ambrosia chocolate custard)",4,NDNS,SBERT fallback
Brioche burger bun/hot dog bun,4,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Beef burger, reduced fat, grilled (no bun)",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Cheese sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
Cannellini beans,3,NDNS,TF-IDF fallback
"Wrap/tortilla, white",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Courgette (zucchini), cooked",3,NDNS,SBERT fallback
"Cereal bar, plain (e.g. Nature Valley)",4,Giulia,SBERT fallback
"Red/yellow/orange pepper, cooked",1,Giulia,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Wrap/tortilla, white",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
Rice with minced mutton (Khasir kima et biryani),3,NDNS,SBERT fallback
"Mixed fruit juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Brown sauce (e.g. HP, Daddies)",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
"Hash browns, grilled / baked",4,NDNS,SBERT fallback
"Fruit squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
Chicken skewer,2,Giulia,SBERT fallback
"Chocolate and caramel biscuit bars (e.g. Drifter, Rocky Caramel)",4,Giulia,SBERT fallback
"Orange squash / juice, with ADDED SUGAR, diluted",4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Corn on the cob (sweetcorn),4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
Houmous/hummus,1,Giulia,SBERT fallback
"Cereal bar, low calorie (e.g. Alpen light bar)",4,NDNS,SBERT fallback
"Broccoli, steamed/microwaved",1,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Single strength squash, with ADDED SUGAR, not diluted (e.g. Vimto, Miwadi)",1,Giulia,SBERT fallback
"Chips, french fries/fine cut, fried (from frozen)",4,NDNS,SBERT fallback
"Vegetarian meat-style sausage (e.g. Linda McCartney), not Quorn",4,NDNS,SBERT fallback
"Fruit squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Mineral water, still or carbonated, flavoured, with artificial sweetener (e.g. Perfectly clear zero sugar",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
"Paratha, white",4,NDNS,SBERT fallback
"50/50 bread (e.g. Kingsmill, Warburtons)",4,NDNS,SBERT fallback
"Ribena squash / juice, diluted, with ADDED SUGAR",4,NDNS,SBERT fallback
Ritz crisp and thins,4,NDNS,SBERT fallback
"Ribena squash / juice , diluted, no added sugar",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Tuna mayo & cucumber/sweetcorn sandwich with white/malted bread,1,Giulia,SBERT fallback
"Chapati, white",4,NDNS,SBERT fallback
"Chips, french fries/fine cut, fried (from frozen)",4,NDNS,SBERT fallback
"Ribena squash / juice, diluted, with ADDED SUGAR",4,NDNS,SBERT fallback
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",4,Giulia,SBERT fallback
"Mango juice drink, ready to drink (e.g. Frooti)",1,NDNS,SBERT fallback
Twister ice lolly,4,Giulia,SBERT fallback
Robinson's fruit shoot juiced,4,NDNS,SBERT fallback
"Vegetarian meat-style sausage (e.g. Linda McCartney), not Quorn",4,NDNS,SBERT fallback
Lentil dahl/ curry (Masar daal gravy),4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Paratha, white",4,NDNS,SBERT fallback
Sparkling apple juice drink (e.g. tango apple),1,Giulia,SBERT fallback
"Mango juice drink, ready to drink (e.g. Frooti)",1,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Fruit smoothie with added vitamins (e.g. Naked, super smoothie, protect/energise type)",4,Giulia,SBERT fallback
Chicken/turkey kebab,3,NDNS,SBERT fallback
"50/50 bread (e.g. Kingsmill, Warburtons)",4,NDNS,SBERT fallback
"Vegetarian chicken-style nuggets/goujons, in breadcrumbs (e.g. Quorn nuggets)",4,Giulia,SBERT fallback
Semolina,4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
Egg mayo sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
Cheese sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
"Orange juice, 100% fruit (e.g. Tropicana)",4,Giulia,SBERT fallback
"Bread, crispy, made with white chapati flour, fenugreek leaves and spices (Methi khakra)",1,Giulia,SBERT fallback
"Honey hoops cereal (cheerios), supermarket brands",4,NDNS,SBERT fallback
"Honey hoops cereal (cheerios), supermarket brands",4,NDNS,SBERT fallback
"Crinkle-cut crisps (e.g. McCoy's, Seabrooks)",4,NDNS,SBERT fallback
"Honey hoops cereal (cheerios), supermarket brands",4,NDNS,SBERT fallback
"Honey hoops cereal (cheerios), supermarket brands",4,NDNS,SBERT fallback
"Broccoli, steamed/microwaved",1,NDNS,SBERT fallback
"Sweetcorn / sweet corn, canned",3,NDNS,SBERT fallback
"Ribena squash / juice, diluted, with ADDED SUGAR",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
"Broccoli, steamed/microwaved",1,NDNS,SBERT fallback
Couscous (plain),1,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Bacon, back/middle, unsmoked, grilled (fat removed)",4,NDNS,SBERT fallback
"Blackcurrant squash / juice, with ADDED SUGAR, diluted",3,NDNS,SBERT fallback
"Hash browns, fried",3,Giulia,SBERT fallback
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",4,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Ice lolly, juice-based (e.g. Fruit Pastilles)",4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
"Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted",1,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
"Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted",1,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
Scotch pancake/drop scone,3,NDNS,SBERT fallback
"Apple and blackcurrant squash, no added sugar, diluted",1,NDNS,SBERT fallback
Light mayonnaise (e.g. Hellmans light),4,NDNS,SBERT fallback
Babybel cheese,4,Giulia,SBERT fallback
Cheese sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
"Multigrain hoops (cheerios), supermarket brands",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Chicken goujon/nugget/dipper, in breadcrumb or batter",4,NDNS,SBERT fallback
"Rice cake, savoury flavoured (e.g. Snack a Jacks)",4,Giulia,SBERT fallback
Mayonnaise (e.g. Hellmans),4,Giulia,SBERT fallback
"Broccoli, steamed/microwaved",1,NDNS,SBERT fallback
Mayonnaise (e.g. Hellmans),4,Giulia,SBERT fallback
Robinson's fruit shoot juiced,4,NDNS,SBERT fallback
Lentil dahl/ curry (Masar daal gravy),4,NDNS,SBERT fallback
"Toast, slimmers bread, wholemeal (brown) (e.g. Nimble)",4,NDNS,SBERT fallback
Babybel cheese,4,Giulia,SBERT fallback
Babybel cheese,4,Giulia,SBERT fallback
Cornetto/king cone (Including supermarket brands),4,NDNS,SBERT fallback
"Multigrain hoops (cheerios), supermarket brands",4,NDNS,SBERT fallback
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),4,NDNS,SBERT fallback
Corn on the cob (sweetcorn),4,NDNS,SBERT fallback
Mayonnaise (e.g. Hellmans),4,Giulia,SBERT fallback
"Horlicks/Ovaltine, made with milk",4,NDNS,SBERT fallback
"Dumplings, wheat flour, stuffed with gram flour, aubergine and tomato (Lithi choka)",4,NDNS,SBERT fallback
Egg mayo sandwich with white/malted bread,4,Giulia,SBERT fallback
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",4,NDNS,SBERT fallback
Cheese sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
"Flavoured water, still or fizzy (with added sugar) (e.g. Volvic a touch of fruit)",4,NDNS,SBERT fallback
Mixed meat kebab (meat only),3,NDNS,SBERT fallback
"Horlicks/Ovaltine, made with milk",4,NDNS,SBERT fallback
"Galaxy caramel, chocolate bar",4,NDNS,SBERT fallback
"Horlicks/Ovaltine, made with milk",4,NDNS,SBERT fallback
"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)",3,NDNS,SBERT fallback
Processed cheese slices (e.g. individually wrapped for melting on burgers),4,NDNS,SBERT fallback
Cheese sandwich with wholemeal/oatmeal bread,4,NDNS,SBERT fallback
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast), stuffed crust",4,Giulia,SBERT fallback
"Meat pizza (e.g. Hawaiian, pepperoni, meat feast)",4,Giulia,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
Tuna mayo sandwich with white/malted bread,4,NDNS,SBERT fallback
"Chocolate squares/pillows, breakfast cereal (e.g. Kellogg's Krave)",4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
"Cereal bar, plain (e.g. Nature Valley)",4,Giulia,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Sparkling apple juice drink (e.g. tango apple),1,Giulia,SBERT fallback
Cornetto/king cone (Including supermarket brands),4,NDNS,SBERT fallback
"Flatbread / flat bread, plain",4,NDNS,SBERT fallback
Cake slice with chocolate chip,3,Giulia,SBERT fallback
"Wrap/tortilla, white",4,NDNS,SBERT fallback
Lentil dahl/ curry (Masar daal gravy),4,NDNS,SBERT fallback
Coca-Cola/Coke/Pepsi,4,NDNS,SBERT fallback
Yellow lentils (Peeli dal),3,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
Coca-Cola/Coke/Pepsi,4,NDNS,SBERT fallback
"Spaghetti/tagliatelle (pasta), white or tricolore",1,NDNS,SBERT fallback
"Chips, french fries/fine cut, fried (from frozen)",4,NDNS,SBERT fallback
Digestive biscuit,4,NDNS,SBERT fallback
Coca-Cola/Coke/Pepsi,4,NDNS,SBERT fallback
"Sweet, chickpea flour balls, small, deep fried (Meethi boondi)",1,Giulia,SBERT fallback
Malt loaf (e.g. Soreen),4,NDNS,SBERT fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
Vermicelli / rice noodles (including glass/thread noodles),1,NDNS,SBERT fallback
Soya beans / edamame beans,4,NDNS,SBERT fallback
"Flatbread / flat bread, plain",4,NDNS,SBERT fallback
Houmous/hummus,1,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Sweetcorn / sweet corn, cooked",1,Giulia,SBERT fallback
Decaf tea,1,NDNS,SBERT fallback
"Potato shapes (e.g. Alphabites, Smilies), grilled/baked",4,NDNS,SBERT fallback
Ice lolly,4,NDNS,SBERT fallback
Gingerbread/cake (including parkin),1,Giulia,SBERT fallback
Malt loaf (e.g. Soreen),4,NDNS,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Tenderstem broccoli, cooked",1,Giulia,SBERT fallback
Copy of Fruit yoghurt,4,NDNS,SBERT fallback
"Sweet potato curry, with coconut milk (Bathala maluwa)",2,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Orange squash, no added sugar, diluted",1,Giulia,SBERT fallback
Okra (ladies fingers/bhindi),3,NDNS,TF-IDF fallback
Cheese and tomato pizza (e.g. Margherita),4,NDNS,SBERT fallback
Stock / consomme (any clear soup),4,NDNS,SBERT fallback
Mozzarella dippers / sticks,4,NDNS,SBERT fallback
Mayonnaise (e.g. Hellmans),4,Giulia,SBERT fallback
Flaked almonds,1,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
"Wrap/tortilla, white",4,NDNS,SBERT fallback
Almond slices (e.g. Mr Kipling),4,Giulia,SBERT fallback
"Crinkle-cut crisps (e.g. McCoy's, Seabrooks)",4,NDNS,SBERT fallback
"Mustard (including English, dijon, wholegrain)",3,Giulia,SBERT fallback
Flaked almonds,1,Giulia,SBERT fallback
"Blackcurrant squash / juice, no added sugar, diluted",4,NDNS,SBERT fallback
Chia seeds,1,Giulia,SBERT fallback
